"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"42078"	"Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"69726"	"Sertraline 100mg tablets (Crescent Pharma Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"90261"	"Chlorpromazine 100mg Tablet (C P Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"100mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"67747"	"Chlorpromazine 25mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"25mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"58837"	"Venlafaxine 37.5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"59820"	"Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Oral solution"	"Oral"	"Amitriptyline"	"10mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"89256"	"Citalopram 10mg tablets (Crescent Pharma Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"7593"	"Stemetil 5mg/5ml Oral solution (Castlemead Healthcare Ltd)"	"Oral solution"	"Oral"	"Prochlorperazine"	"1mg/1ml"	"Antipsychotic Products/-"	"Prochlorperazine"	"Antipsychotics"
"33164"	"Dosulepin 25mg capsules (Sandoz Ltd)"	"Oral capsule"	"Oral"	"Dosulepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"79560"	"Cariprazine 4.5mg capsules"	"Oral capsule"	"Oral"	"Cariprazine"	"4.5mg"	"Antipsychotic Products"	"Cariprazine"	"Antipsychotics"
"7022"	"Lamictal 50mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"85763"	"Sertraline 50mg tablets (Genesis Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"17849"	"Vertigon spansule 15 15mg Spansule (GlaxoSmithKline Consumer Healthcare)"	"Spansule"	"Oral"	"Prochlorperazine"	"15mg"	"Antipsychotic Products/-"	"Prochlorperazine"	"Antipsychotics"
"65771"	"Sertraline 200mg/5ml oral suspension (Special Order)"	"Oral Suspension"	"Route Of Administration Not Applicable"	"Sertraline"	NA	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"47832"	"Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"39427"	"Sodium valproate with valproic acid 750mg modified release granules"	"Modified Release Granules"	"Oral"	"Valproate/Valproic"	"750mg"	"Control Of Epilepsy"	"Valproate/Valproic"	"Mood Stabilisers"
"85007"	"Sertraline 100mg tablets (Medreich Plc)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"62692"	"Sertraline 100mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"40395"	"Sodium valproate 100mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Valproate"	"100mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"43242"	"Mirtazapine 15mg tablets (Genus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"1888"	"Amitriptyline 50mg tablets"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"39830"	"Neulactil 2.5mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Pericyazine"	"2.5mg"	"First-Generation Antipsychotic Drugs"	"Pericyazine"	"Antipsychotics"
"71382"	"Promazine 50mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Promazine"	"10mg/1ml"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"46556"	"Paliperidone 75mg/0.75ml prolonged-release suspension for injection pre-filled syringes"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"100mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"76933"	"Risperdal Consta 25mg powder and solvent for prolonged-release suspension for injection vials (Waymade Healthcare Plc)"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"8045"	"CHLORPROMAZINE 200 MG TAB"	"Tablet"	"Oral"	"Chlorpromazine"	NA	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"13105"	"Haloperidol 2mg/ml Oral solution"	"Oral Solution"	"Oral"	"Haloperidol"	"2mg/ml"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"73636"	"Trazodone 150mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Trazodone"	"150mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"2786"	"Risperidone 6mg tablets"	"Oral tablet"	"Oral"	"Risperidone"	"6mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"63370"	"Duloxetine 30mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"55482"	"Mirtazapine 15mg orodispersible tablets (Viatris UK Healthcare Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"56076"	"Sodium valproate 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Valproate"	"100mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"87485"	"Amisulpride 100mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amisulpride"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"45223"	"Citalopram 40mg tablets (Niche Generics Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"3903"	"Nortriptyline 25mg tablets"	"Oral tablet"	"Oral"	"Nortriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"9281"	"Sodium valproate with valproic acid 200mg modified release tablets"	"Modified Release Tablet"	"Oral"	"Valproate/Valproic"	"200mg"	"Control Of Epilepsy"	"Valproate/Valproic"	"Mood Stabilisers"
"90886"	"Risperidone 1mg orodispersible tablets sugar free (Krka UK Ltd)"	"Orodispersible tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"8985"	"Stelazine 1mg/5ml syrup (Mercury Pharma Group Ltd)"	"Oral solution"	"Oral"	"Trifluoperazine"	"200microgram/1ml"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"	"Antipsychotics"
"89499"	"Dosulepin 25mg capsules (Sterwin Medicines)"	"Oral capsule"	"Oral"	"Dosulepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"83744"	"Quetiapine 25mg tablets (Krka UK Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"18011"	"Teril Retard 400mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"63494"	"Risperidone 500microgram orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"5040"	"Quetiapine 150mg tablets"	"Oral tablet"	"Oral"	"Quetiapine"	"150mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"71670"	"Olanzapine 5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"1990"	"Prochlorperazine 25mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"25mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"86048"	"Aripiprazole 10mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"10mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"91157"	"Duloxetine 30mg gastro-resistant capsules (Accord-UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"84756"	"Zalasta 15mg orodispersible tablets (Krka UK Ltd)"	"Orodispersible tablet"	"Oral"	"Olanzapine"	"15mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"1316"	"Stelazine 5mg tablets (Mercury Pharma Group Ltd)"	"Oral tablet"	"Oral"	"Trifluoperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"	"Antipsychotics"
"31796"	"Benquil 250microgram tablets (Concord Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Benperidol"	"250microgram"	"First-Generation Antipsychotic Drugs"	"Benperidol"	"Antipsychotics"
"23431"	"Olanzapine 10mg powder for solution for injection vials"	"Powder for solution for injection"	"Intramuscular"	"Olanzapine"	"10mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"4310"	"Trimipramine 10mg tablets"	"Oral tablet"	"Oral"	"Trimipramine"	"10mg"	"Tricyclic And Related Antidepressants"	"Trimipramine"	"Antidepressants"
"89403"	"Escitalopram 5mg tablets (Mawdsley-Brooks & Company Ltd)"	"Oral tablet"	"Oral"	"Escitalopram"	"5mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"76664"	"Promazine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Promazine"	"5mg/1ml"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"14364"	"Prochlorperazine 12.5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	"12.5mg/1ml"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"89466"	"Imipramine 25mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Imipramine"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"12221"	"Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Tryptophan"	"500mg"	"Other Antidepressants"	"Tryptophan"	"Antidepressants"
"8250"	"AMITRIPTYLINE S/F 25 MG/5ML SYR"	"Solution for injection"	"Intramuscular"	"Amitriptyline"	NA	"Unknown"	"Amitriptyline"	"Antidepressants"
"33106"	"Sodium valproate 200mg/5ml Oral solution (IVAX Pharmaceuticals UK Ltd)"	"Oral solution"	"Oral"	"Valproate"	"40mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"2419"	"Haloperidol 500microgram capsules"	"Oral capsule"	"Oral"	"Haloperidol"	"500microgram"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"63797"	"Zaluron XL 150mg tablets (Fontus Health Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"150mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"2080"	"Lamotrigine 50mg tablets"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"1162"	"Melleril 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Thioridazine"	"25mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"44024"	"Quetiapine 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Quetiapine"	"150mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"78654"	"Mirtazapine 30mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"46677"	"Risperidone 500microgram tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"25045"	"TRIMIPRAMINE"	NA	NA	"Trimipramine"	NA	"Unknown"	"Trimipramine"	"Antidepressants"
"72753"	"Risperdal 1mg/ml oral solution (Lexon (UK) Ltd)"	"Oral solution"	"Oral"	"Risperidone"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"3771"	"AMITRIPTYLINE 75 MG TAB"	"Tablet"	"Oral"	"Amitriptyline"	NA	"Unknown"	"Amitriptyline"	"Antidepressants"
"16986"	"Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd)"	"Orodispersible tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"70433"	"Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"200mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"18668"	"Trifluoperazine 10mg/ml concentrate"	"Concentrate"	"Oral"	"Trifluoperazine"	"10mg/ml"	"Antipsychotic Products/-"	"Trifluoperazine"	"Antipsychotics"
"10937"	"Lithium citrate 509mg/5ml oral solution"	"Oral solution"	"Oral"	"Lithium"	"101.8mg/1ml"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"85525"	"Escitalopram 5mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Escitalopram"	"5mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"74"	"Dosulepin 75mg tablets"	"Oral tablet"	"Oral"	"Dosulepin"	"75mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"27565"	"FLUANXOL"	NA	NA	"Flupentixol"	NA	"Unknown"	"Flupentixol"	"Antipsychotics"
"45106"	"Sodium valproate 250mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"250mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"71365"	"Tegretol Prolonged Release 400mg tablets (DE Pharmaceuticals)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"83"	"Amitriptyline 10mg tablets"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"5977"	"Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"75645"	"Fluoxetine 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine"	"500microgram/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"41709"	"Trazodone 100mg capsules (Teva UK Ltd)"	"Oral capsule"	"Oral"	"Trazodone"	"100mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"52607"	"Citalopram 20mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"6523"	"Haldol 5mg/ml Injection (Janssen-Cilag Ltd)"	"Injection"	"Subcutaneous Infusion"	"Haloperidol"	"5mg/ml"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"7919"	"Fentazin 4mg tablets (Advanz Pharma)"	"Oral tablet"	"Oral"	"Perphenazine"	"4mg"	"First-Generation Antipsychotic Drugs"	"Perphenazine"	"Antipsychotics"
"475"	"Haloperidol 10mg tablets"	"Oral tablet"	"Oral"	"Haloperidol"	"10mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"62335"	"Olena 20mg dispersible tablets (Advanz Pharma)"	"Dispersible tablet"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"24053"	"Sulparex 200mg Tablet (E R Squibb and Sons Ltd)"	"Oral tablet"	"Oral"	"Sulpiride"	"200mg"	"Antipsychotic Products/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders"	"Sulpiride"	"Antipsychotics"
"65618"	"Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"20061"	"PERPHENAZINE 8 MG TAB"	"Tablet"	"Oral"	"Perphenazine"	NA	"Unknown"	"Perphenazine"	"Antipsychotics"
"89491"	"Zyprexa 10mg tablets (Dowelhurst Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"10mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"35122"	"Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25mg/1ml"	"Antipsychotic Depot Injections"	"Fluphenazine"	"Antipsychotics"
"59745"	"Carbamazepine 100mg/5ml oral suspension sugar free (DE Pharmaceuticals)"	"Oral suspension"	"Oral"	"Carbamazepine"	"20mg/1ml"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"22861"	"LITHIUM 8% + ZINC SULPHATE 0.05%"	NA	NA	"Lithium"	NA	"Unknown"	"Lithium"	"Mood Stabilisers"
"46801"	"Amitriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline"	"2mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"90263"	"Chlorpromazine 25mg/ml Injection (Celltech Pharma Europe Ltd)"	"Injection"	"Intramuscular"	"Chlorpromazine"	"25mg/ml"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"83880"	"Duloxetine 30mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"46668"	"Mirtazapine 15mg tablets (Arrow Generics Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"13600"	"Zuclopenthixol 25mg tablets"	"Oral tablet"	"Oral"	"Zuclopenthixol"	"25mg"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"44861"	"Fluvoxamine 100mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Fluvoxamine"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluvoxamine"	"Antidepressants"
"8153"	"Serenace 2mg/ml liquid (Teva UK Ltd)"	"Oral solution"	"Oral"	"Haloperidol"	"2mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"56457"	"Venlafaxine 75mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"55870"	"Quetiapine oral liquid"	"Oral solution"	"Oral"	"Quetiapine"	NA	"Antipsychotic Products"	"Quetiapine"	"Antipsychotics"
"66890"	"Vortioxetine 20mg tablets"	"Oral tablet"	"Oral"	"Vortioxetine"	"20mg"	"Other Antidepressants"	"Vortioxetine"	"Antidepressants"
"39452"	"Sodium valproate with valproic acid 500mg modified release granules"	"Modified Release Granules"	"Oral"	"Valproate/Valproic"	"500mg"	"Control Of Epilepsy"	"Valproate/Valproic"	"Mood Stabilisers"
"4329"	"Mianserin 20mg tablets"	"Oral tablet"	"Oral"	"Mianserin"	"20mg"	"Unknown"	"Mianserin"	"Antidepressants"
"12368"	"Norval 10mg Tablet (Bencard)"	"Oral tablet"	"Oral"	"Mianserin"	"10mg"	"Tricyclic And Related Antidepressants"	"Mianserin"	"Antidepressants"
"10809"	"Priadel 520mg/5ml liquid (Essential Pharma Ltd)"	"Oral solution"	"Oral"	"Lithium"	"104mg/1ml"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"46970"	"Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants"	"Amitriptyline"	"Antidepressants"
"41747"	"Moclobemide 150mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Moclobemide"	"150mg"	"Reversible Monoamine-Oxidase Inhibitors"	"Moclobemide"	"Antidepressants"
"53690"	"Kabiven infusion 2.566litre bags (Fresenius Kabi Ltd)"	"Infusion"	"Intravenous"	"Tryptophan"	"38.97gram/1litre + 97.43gram/1litre + 4.68gram/1litre + 3.31gram/1litre + 1.01gram/1litre + 1.64gram/1litre + 2.3gram/1litre + 1.99gram/1litre + 1.64gram/1litre + 2.3gram/1litre + 2.3gram/1litre + 1.99gram/1litre + 1.33gram/1litre + 1.64gram/1litre + 546mg/1litre + 66mg/1litre + 2.14gram/1litre + 1.48gram/1litre + 1.75gram/1litre + 468mg/1litre + 218mg/1litre + 1.44gram/1litre + 2.65gram/1litre + 1.64gram/1litre"	"Intravenous Nutrition"	"Tryptophan"	"Antidepressants"
"40881"	"Neulactil 10mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Pericyazine"	"10mg"	"First-Generation Antipsychotic Drugs"	"Pericyazine"	"Antipsychotics"
"90384"	"Nortriptyline 10mg capsules (Kent Pharma (UK) Ltd)"	"Oral capsule"	"Oral"	"Nortriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"34419"	"Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"67288"	"Efexor 75mg tablets (Dowelhurst Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"70063"	"Duloxetine 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"20mg"	"Urinary Incontinence"	"Duloxetine"	"Antidepressants"
"12666"	"Sertindole 4mg tablets"	"Oral tablet"	"Oral"	"Sertindole"	"4mg"	"Second-Generation Antipsychotic Drugs"	"Sertindole"	"Antipsychotics"
"34120"	"Sodium valproate 200mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
