"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"MIRTAZAPINE"	""	""	""	""	"31168"	"00000000"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Mylan)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"76187"	"04030400"	"mirtazapine"
"Amitriptyline 10mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"76298"	"04030100/04070300/04070402"	"amitriptyline"
"Dosulepin 25mg capsules (Strides Pharma UK Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"76317"	"04030100"	"dosulepin"
"Trazodone 150mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"76480"	"04030100"	"trazodone"
"Venzip XL 150mg capsules (Milpharm Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"76727"	"04030400"	"venlafaxine"
"Efexor XL 75mg capsules (Waymade Healthcare Plc)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"76771"	"04030400"	"venlafaxine"
"Seroxat 30mg tablets (Mawdsley-Brooks & Company Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"76772"	"04030300"	"paroxetine"
"Amitriptyline 10mg tablets (Genesis Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"76839"	"04030100/04070300/04070402"	"amitriptyline"
"Duloxetine 30mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Duloxetine hydrochloride"	"6mg/1ml"	"76857"	"04030400/06010500"	"duloxetine"
"Amitriptyline 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"500microgram/1ml"	"76927"	"04030100/04070300/04070402"	"amitriptyline"
"Paroxetine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"76946"	"04030300"	"paroxetine"
"Amitriptyline 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline hydrochloride"	"1mg/1ml"	"76952"	"04030100/04070300/04070402"	"amitriptyline"
"Efexor 75mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"77089"	"04030400"	"venlafaxine"
"Dosulepin 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"2mg/1ml"	"77130"	"04030100"	"dosulepin"
"Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"77167"	"04030100"	"amitriptyline"
"Clomipramine 50mg capsules (Waymade Healthcare Plc)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"77227"	"04030100"	"clomipramine"
"Amitriptyline 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"77229"	"00000000"	"amitriptyline"
"Zispin 30mg tablets (Dowelhurst Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"77377"	"04030400"	"mirtazapine"
"Prozac 20mg capsules (Dowelhurst Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"77381"	"04030300"	"fluoxetine"
"Lustral 50mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"77385"	"04030300"	"sertraline"
"Trazodone 50mg/5ml oral solution sugar free (Zentiva)"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"77474"	"04030100"	"trazodone"
"Mirtazapine 30mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"77488"	"04030400"	"mirtazapine"
"Amitriptyline 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"15mg/1ml"	"77497"	"04030100/04070300/04070402"	"amitriptyline"
"Sertraline 50mg/5ml oral suspension (Drug Tariff Special Order)"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"10mg/1ml"	"77538"	"04030300"	"sertraline"
"Sertraline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"2mg/1ml"	"77607"	"04030300"	"sertraline"
"Seroxat 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"77650"	"04030300"	"paroxetine"
"Sertraline 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"15mg/1ml"	"77707"	"04030300"	"sertraline"
"Lofepramine 70mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14mg/1ml"	"77717"	"04030100"	"lofepramine"
"Mirtazapine 15mg orodispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"77865"	"04030400"	"mirtazapine"
"Fluoxetine 10mg capsules (Medreich Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"77881"	"04030300"	"fluoxetine"
"Trazodone 150mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"77915"	"04030100"	"trazodone"
"Clomipramine 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"1mg/1ml"	"78057"	"04030100"	"clomipramine"
"Amitriptyline 50mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"78221"	"04030100/04070300/04070402"	"amitriptyline"
"Nortriptyline 25mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"78224"	"04030100/07040251"	"nortriptyline"
"Sertraline 12.5mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"12.5mg"	"78278"	"04030300"	"sertraline"
"Clomipramine 50mg capsules (Mylan)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"78324"	"04030100"	"clomipramine"
"Amitriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"78364"	"04030100/04070300/04070402"	"amitriptyline"
"ViePax XL 225mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225mg"	"78585"	"04030400"	"venlafaxine"
"Sertraline 15mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"3mg/1ml"	"78626"	"04030300"	"sertraline"
"Mirtazapine 30mg tablets (Aurobindo Pharma Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"78654"	"04030400"	"mirtazapine"
"Duloxetine 60mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"78777"	"04030400/06010500"	"duloxetine"
"Paroxetine 30mg/5ml oral solution"	"Oral solution"	"Oral"	"Paroxetine hydrochloride"	"6mg/1ml"	"78843"	"04030300"	"paroxetine"
"Fluoxetine 40mg capsules (Medreich Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"40mg"	"78889"	"04030300"	"fluoxetine"
"Mirtazapine 30mg orodispersible tablets (Teva UK Ltd)"	""	""	""	""	"79008"	"04030400"	"mirtazapine"
"Winfex XL 75mg capsules (Zentiva)"	""	""	""	""	"79124"	"04030400"	"venlafaxine"
"Sertraline 50mg tablets (Kent Pharmaceuticals Ltd)"	""	""	""	""	"79163"	"04030300"	"sertraline"
"Mirtazapine 45mg orodispersible tablets (Alliance Healthcare (Distribution) Ltd)"	""	""	""	""	"79252"	"04030400"	"mirtazapine"
"Duloxetine 30mg gastro-resistant capsules (Aspire Pharma Ltd)"	""	""	""	""	"79275"	"04030400/06010500"	"duloxetine"
"Clomipramine 25mg capsules (Mylan)"	""	""	""	""	"79276"	"04030100"	"clomipramine"
"Paroxetine 30mg Tablet (Sovereign Medical Ltd)"	"Tablet"	""	"Paroxetine Hydrochloride"	"30mg"	"79381"	"04030300"	"paroxetine"
"Paroxetine 30mg Tablet (Neo Laboratories Ltd)"	"Tablet"	""	"Paroxetine Hydrochloride"	"30mg"	"79383"	"04030300"	"paroxetine"
"Lofepramine Oral solution"	"Oral Solution"	""	"Lofepramine"	""	"79397"	"04030100"	"lofepramine"
"Amitriptyline 100mg/5ml oral solution"	""	""	""	""	"79401"	"04030100/04070300/04070402"	"amitriptyline"
"Fluoxetine 60mg capsules (A A H Pharmaceuticals Ltd)"	""	""	""	""	"79494"	"04030300"	"fluoxetine"
"Fluoxetine 20mg capsules (Bristol Laboratories Ltd)"	""	""	""	""	"79506"	"04030300"	"fluoxetine"
"Fluoxetine 30mg capsules (Medreich Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"30mg"	"79590"	"04030300"	"fluoxetine"
"Duloxetine 30mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"79628"	"04030400/06010500"	"duloxetine"
"Amitriptyline 25mg tablets (Genesis Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"79766"	"04030100/04070300/04070402"	"amitriptyline"
"Duloxetine 40mg gastro-resistant capsules (Actavis UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40mg"	"79768"	"07040250"	"duloxetine"
"Cipramil 10mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"79784"	"04030300"	"citalopram"
"Amitriptyline 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"79826"	"04030100/04070300/04070402"	"amitriptyline"
"Amitriptyline 10mg tablets (NorthStar Healthcare Unlimited Company)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"80135"	"04030100/04070300/04070402"	"amitriptyline"
"Venlafaxine 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"300mg"	"80331"	"04030400"	"venlafaxine"
"Nortriptyline 10mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"80352"	"04030100/07040251"	"nortriptyline"
"Citalopram 10mg tablets (Tillomed Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"80370"	"04030300"	"citalopram"
"Trazodone 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"80399"	"04030100"	"trazodone"
"Escitalopram 20mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"80453"	"04030300"	"escitalopram"
"Venlalic XL 300mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"300mg"	"80541"	"04030400"	"venlafaxine"
"Nortriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"2mg/1ml"	"80546"	"04030100/07040251"	"nortriptyline"
"Prozac 20mg/5ml liquid (Lexon (UK) Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"80702"	"04030300"	"fluoxetine"
"Majoven XL 37.5mg capsules (Bristol Laboratories Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"80721"	"04030400"	"venlafaxine"
"Cipralex 20mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"80820"	"04030300"	"escitalopram"
"Cipralex 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"80821"	"04030300"	"escitalopram"
"Duloxetine 30mg gastro-resistant capsules (Consilient Health Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"80840"	"04030400/06010500"	"duloxetine"
"Imipramine 25mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"80885"	"04030100/07040251"	"imipramine"
"Zispin SolTab 30mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"80893"	"04030400"	"mirtazapine"
"Mirtazapine 30mg Tablet (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"80953"	"04030400"	"mirtazapine"
"Citalopram 20mg tablets (Noumed Life Sciences Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"81067"	"04030300"	"citalopram"
"Dosulepin 75mg tablets (Co-Pharma Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"81126"	"04030100"	"dosulepin"
"Foraven XL 150mg capsules (Forum Products Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"81158"	"04030400"	"venlafaxine"
"Trazodone 50mg tablets"	""	""	""	""	"81210"	"04030100"	"trazodone"
"Trazodone 100mg tablets"	""	""	""	""	"81245"	"04030100"	"trazodone"
"Efexor XL 150mg capsules (Lexon (UK) Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150mg"	"81253"	"04030400"	"venlafaxine"
"Doxepin 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Doxepin hydrochloride"	"10mg/1ml"	"81337"	"04030100"	"doxepin"
"Duloxetine 30mg gastro-resistant capsules (Zentiva)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"81423"	"04030400/06010500"	"duloxetine"
"Clomipramine 25mg capsules (Actavis UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"81617"	"04030100"	"clomipramine"
"Imipramine 25mg Tablet (Celltech Pharma Europe Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"81638"	"04030100/07040200"	"imipramine"
"Paroxetine 10mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"81854"	"04030300"	"paroxetine"
"Fluoxetine 10mg tablets (Endo Ventures Ltd)"	"Tablet"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"81906"	"04030300"	"fluoxetine"
"Mirtazapine 15mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"81914"	"04030400"	"mirtazapine"
"Escitalopram 10mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"81987"	"04030300"	"escitalopram"
"Sertraline 50mg tablets (Relonchem Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"81991"	"04030300"	"sertraline"
"Duloxetine 30mg gastro-resistant capsules (Wockhardt UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"82035"	"04030400/06010500"	"duloxetine"
"Mirtazapine 30mg tablets (Ennogen Healthcare Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"82070"	"04030400"	"mirtazapine"
"Sertraline 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Sertraline hydrochloride"	"5mg/1ml"	"82195"	"04030300"	"sertraline"
"Mirtazapine 15mg tablets (Noumed Life Sciences Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"82206"	"04030400"	"mirtazapine"
"Mirtazapine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Mirtazapine"	"15mg/1ml"	"82245"	"04030400"	"mirtazapine"
"Mirtazapine 30mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"82326"	"04030400"	"mirtazapine"
"Duloxetine 20mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"82340"	"07040250"	"duloxetine"
"Escitalopram 10mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"82346"	"04030300"	"escitalopram"
"Lustral 100mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"82384"	"04030300"	"sertraline"
"Amitriptyline 50mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"82403"	"04030100/04070300/04070402"	"amitriptyline"
"Duloxetine 40mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40mg"	"82430"	"07040250"	"duloxetine"
"Mirtazapine 15mg tablets (Genesis Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"82469"	"04030400"	"mirtazapine"
"Lustral 100mg tablets (Dowelhurst Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"82495"	"04030300"	"sertraline"
"Lustral 50mg tablets (Dowelhurst Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"82497"	"04030300"	"sertraline"
"Seroxat 20mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"82506"	"04030300"	"paroxetine"
"Zispin SolTab 30mg orodispersible tablets (Waymade Healthcare Plc)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"82510"	"04030400"	"mirtazapine"
"Zispin SolTab 15mg orodispersible tablets (Waymade Healthcare Plc)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"82520"	"04030400"	"mirtazapine"
"Cymbalta 30mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"82572"	"04030400/06010500"	"duloxetine"
"Seroxat 30mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"82578"	"04030300"	"paroxetine"
"Citalopram 20mg tablets (Sovereign Medical Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"82670"	"04030300"	"citalopram"
"Mirtazapine 15mg tablets (Relonchem Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"82682"	"04030400"	"mirtazapine"
"Phenelzine 15mg capsules"	"Capsule"	"Oral"	"Phenelzine sulfate"	"15mg"	"82839"	"04030200"	"phenelzine"
"Cymbalta 60mg gastro-resistant capsules (Necessity Supplies Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"82860"	"04030400/06010500"	"duloxetine"
"Sertraline 25mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"25mg"	"82884"	"04030300"	"sertraline"
"Duciltia 30mg gastro-resistant capsules (Aristo Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"82903"	"04030400/06010500"	"duloxetine"
"Imipramine 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"82911"	"04030100/07040251"	"imipramine"
"Trazodone 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"5mg/1ml"	"83013"	"04030100"	"trazodone"
"Venlafaxine 37.5mg tablets (Dexcel-Pharma Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"83069"	"04030400"	"venlafaxine"
"Citalopram 40mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"83078"	"04030300"	"citalopram"
"Amitriptyline 10mg tablets (Medihealth (Northern) Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"83079"	"04030100/04070300/04070402"	"amitriptyline"
"Sertraline 25mg tablets (Zentiva)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"25mg"	"83101"	"04030300"	"sertraline"
"Majoven XL 75mg capsules (Bristol Laboratories Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"83355"	"04030400"	"venlafaxine"
"Amitriptyline 25mg/5ml oral solution sugar free (Accord Healthcare Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"83377"	"04030100/04070300/04070402"	"amitriptyline"
"Cipralex 10mg tablets (Necessity Supplies Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"83378"	"04030300"	"escitalopram"
"Paroxetine 30mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"83463"	"04030300"	"paroxetine"
"Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"83468"	"00000000"	"clomipramine"
"Clomipramine 25mg capsules (Almus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"83470"	"00000000"	"clomipramine"
"Imipramine 25mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"83472"	"04030100/07040251"	"imipramine"
"Allegron 25mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"83498"	"04030100"	"nortriptyline"
"Amitriptyline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"83516"	"04030100/04070300/04070402"	"amitriptyline"
"Nortriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"5mg/1ml"	"83536"	"04030100/07040251"	"nortriptyline"
"Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order)"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"5mg/1ml"	"83668"	"04030300"	"sertraline"
"Duloxetine 30mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"83880"	"04030400/06010500"	"duloxetine"
"Lofepramine 70mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"83942"	"04030100"	"lofepramine"
"Paroxetine 20mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"83981"	"04030300"	"paroxetine"
"Duloxetine 30mg gastro-resistant capsules (Tillomed Laboratories Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"84007"	"04030400/06010500"	"duloxetine"
"Efexor 37.5mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"84186"	"04030400"	"venlafaxine"
"Duloxetine 40mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40mg"	"84231"	"07040250"	"duloxetine"
"Citalopram 10mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"84264"	"04030300"	"citalopram"
"Amitriptyline 10mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"84344"	"04030100/04070300/04070402"	"amitriptyline"
"Mirtazapine 15mg orodispersible tablets (Medreich Plc)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"84387"	"04030400"	"mirtazapine"
"Sertraline 100mg tablets (Consilient Health Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"84470"	"04030300"	"sertraline"
"Dosulepin 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin hydrochloride"	"15mg/1ml"	"84526"	"04030100"	"dosulepin"
"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"84537"	"04030300"	"sertraline"
"Sertraline 100mg tablets (Dowelhurst Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"84538"	"04030300"	"sertraline"
"Paroxetine 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"84572"	"04030300"	"paroxetine"
"Venlafaxine 37.5mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"84573"	"04030400"	"venlafaxine"
"Paroxetine 10mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"84646"	"04030300"	"paroxetine"
"Sertraline oral solution"	""	""	"Sertraline Hydrochloride"	""	"84656"	"04030300"	"sertraline"
"Mirtazapine 30mg tablets (Mylan)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"84696"	"04030400"	"mirtazapine"
"Amitriptyline 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"84748"	"04030100/04070300/04070402"	"amitriptyline"
"Moclobemide 150mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Moclobemide"	"150mg"	"84842"	"04030201"	"moclobemide"
"Duloxetine 90mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"90mg"	"84977"	"04030400"	"duloxetine"
"Duloxetine 120mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"120mg"	"84981"	"04030400"	"duloxetine"
"Sertraline 50mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"85005"	"04030300"	"sertraline"
"Sertraline 100mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"85007"	"04030300"	"sertraline"
"Duloxetine 60mg gastro-resistant capsules (Accord Healthcare Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"85073"	"04030400/06010500"	"duloxetine"
"Sertraline 100mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"85140"	"04030300"	"sertraline"
"Sertraline 50mg tablets (Focus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"85194"	"04030300"	"sertraline"
"Venlafaxine 75mg tablets (Zentiva Pharma UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"85195"	"04030400"	"venlafaxine"
"Citalopram 10mg tablets (Sovereign Medical Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"85308"	"04030300"	"citalopram"
"Sertraline 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"1mg/1ml"	"85369"	"04030300"	"sertraline"
